n_nodes,algorithm,algorithm_label,seed,n_rounds_cap,FND,HND,LND,total_packets,total_packet_loss,packet_loss_ratio,avg_energy_consumed_per_round,elapsed_seconds,lnd_reached_cap,source
150,omf,OMF,1,3000,533,1116,1581,161981,3162,0.019147042260344065,0.04743833017077799,2164.2601749000023,False,new_campaign
150,omf,OMF,2,3000,432,1103,1803,160425,3427,0.02091521617069062,0.04159733777038269,2477.820410699991,False,new_campaign
150,omf,OMF,3,3000,534,1135,1744,162314,3220,0.01945219713170708,0.0430045871559633,2363.3864821000025,False,new_campaign
150,omf,OMF,4,3000,455,1088,1508,162230,3052,0.018465410631526725,0.04973474801061008,1628.0054800999933,False,new_campaign
150,omf,OMF,5,3000,479,1126,1611,161422,3097,0.018824573453522085,0.04655493482309125,2021.2472550999955,False,new_campaign
150,omf,OMF,6,3000,565,1119,1658,161845,3387,0.02049845066330977,0.04523522316043426,2517.161551600031,False,new_campaign
150,omf,OMF,7,3000,581,1084,1545,161718,3316,0.02009282935637505,0.04854368932038835,1967.2359000999713,False,new_campaign
150,omf,OMF,8,3000,569,1109,1717,160802,3310,0.02016915277371551,0.043680838672102505,2443.026388600003,False,new_campaign
150,omf,OMF,9,3000,595,1113,1639,162320,3003,0.01816444172922098,0.04575960951799878,1863.5329882000224,False,new_campaign
150,omf,OMF,10,3000,564,1112,1697,161963,3279,0.019843623291899155,0.04419563936358279,2326.817989800009,False,new_campaign
150,pso,MOPSO,1,3000,312,1126,1542,160254,3616,0.02206627204491365,0.048638132295719845,1861.8712552999496,False,new_campaign
150,pso,MOPSO,2,3000,243,1111,1741,159283,3634,0.022305836714400583,0.0430786904078116,1957.305634199991,False,new_campaign
150,pso,MOPSO,3,3000,247,1152,1694,161171,3339,0.02029663850221871,0.04427390791027155,1980.625720699958,False,new_campaign
150,pso,MOPSO,4,3000,280,1114,1564,161021,3222,0.01961727440438862,0.0479539641943734,1924.1330478000455,False,new_campaign
150,pso,MOPSO,5,3000,133,1130,1739,159456,3115,0.019160858947782813,0.04312823461759632,1964.1744441000046,False,new_campaign
150,pso,MOPSO,6,3000,339,1111,1704,160489,3280,0.020028210467182433,0.04401408450704225,1938.741920200002,False,new_campaign
150,pso,MOPSO,7,3000,268,1116,1596,160829,3138,0.019137997279940477,0.046992481203007516,1846.8962439000024,False,new_campaign
150,pso,MOPSO,8,3000,382,1111,1715,159811,3466,0.021227729563869986,0.043731778425655975,1725.9608526999946,False,new_campaign
150,pso,MOPSO,9,3000,220,1113,1647,160959,3038,0.01852472911089837,0.04553734061930783,1574.0136164999567,False,new_campaign
150,pso,MOPSO,10,3000,305,1128,1669,160716,3346,0.020394728822030694,0.04493708807669263,1504.7894961999846,False,new_campaign
